Incumbent Presidents Contesting Re-election (1979–2023),,,,,,,,,,,,,,,,,,,,
Country,Region,President,Election Year,Incumbent Contesting?,Outcome (Won/Lost),Term # if Won,Margin / Vote Share,Notes,Source,,COUNTA of ,,,,,,,,,
Côte d'Ivoire,West Africa,Alassane Ouattara,2020,Yes,Won,3,94% (n/a  not fully verified),Contested a disputed 3rd term after 2016 constitutional change reset term count: opposition boycotted: violence preceded vote.,China.org.cn (secondary ref): note: verify via CEI/AU primary source,,,,,,,,,,,
Côte d'Ivoire,West Africa,Alassane Ouattara,2025,Yes,Won,4,89.77%,"Fourth term: key rivals (Gbagbo, Thiam) barred from contesting: turnout ~50%.",Xinhua: AllAfrica: Yahoo/The News,,,,,,,,,,,
Ghana,West Africa,John Mahama,2016,Yes,Lost,,44.4% vs Akufo-Addo 53.85%,First incumbent defeated since Ghana's return to multiparty democracy in 1992.,Pulse Ghana,,,,,,,,,,,
Ghana,West Africa,Nana Akufo-Addo,2020,Yes,Won,2,n/a  not verified in this pass,Re-elected: contested by Mahama in rematch.,"n/a not verified, cite Ghana EC for exact figures",,,,,,,,,,,
Ghana,West Africa,Nana Akufo-Addo,2024,"No (term-limited, ineligible)",N/A  did not contest,n/a,,Mahama (returning as challenger) won the open-seat election.,Wikipedia (2024 Ghanaian general election),,,,,,,,,,,
Kenya,East Africa,Daniel arap Moi,1992,Yes (incumbent since 1978),Won,n/a,36% (first multiparty election),First multiparty election: won on split opposition: accusations of rigging.,Springer Nature: New World Encyclopedia,,,,,,,,,,,
Kenya,East Africa,Daniel arap Moi,1997,Yes,Won,n/a,40.4% vs Kibaki 30.9%,Marred by allegations of fraud: opposition again split.,Wikipedia (1997 Kenyan general election),,,,,,,,,,,
Kenya,East Africa,Mwai Kibaki,2002,No (first election),Won (first term),1,62% (n/a exact  landslide),First peaceful transfer of power in Kenya's history: ended KANU's 39-year rule.,AllAfrica,,,,,,,,,,,
Kenya,East Africa,Mwai Kibaki,2007,Yes,Won (disputed),2,n/a  disputed count,"Disputed result triggered ethnic violence (~1,200 killed, 600k displaced): resolved via power-sharing government with Odinga as PM.",Al Jazeera: Wikipedia,,,,,,,,,,,
Kenya,East Africa,Uhuru Kenyatta,2013,No (first election),Won (first term),1,n/a  not verified in this pass,,Al Jazeera,,,,,,,,,,,
Kenya,East Africa,Uhuru Kenyatta,2017,Yes,Won (after annulment/rerun),2,"54.27% (Aug vote, annulled): 98% (Oct rerun)",Supreme Court annulled original August result (first such annulment in Africa): Kenyatta won the October rerun after Odinga boycotted.,Al Jazeera: Sputnik/Global Security,,,,,,,,,,,
Kenya,East Africa,William Ruto,2022,"No (Deputy President, not incumbent president)",Won (first term),1,50.49% vs Odinga 48.85%,"Kenyatta was term-limited after 2 terms: Ruto ran as DP, not as incumbent president.",NPR: Gulf News,,,,,,,,,,,
Uganda,East Africa,Yoweri Museveni,1996,Yes (in power since 1986),Won,n/a,74%,First direct presidential election under 1995 constitution: no-party 'Movement System'.,Wikipedia (1996 Ugandan presidential election),,,,,,,,,,,
Uganda,East Africa,Yoweri Museveni,2001,Yes,Won,n/a,69%,,EISA/AU journal,,,,,,,,,,,
Uganda,East Africa,Yoweri Museveni,2006,Yes,Won,n/a,59% vs Besigye 37%,First multiparty election since 1980 after term-limit removal (2005 constitutional amendment).,EISA/AU journal: Britannica,,,,,,,,,,,
Uganda,East Africa,Yoweri Museveni,2011,Yes,Won,n/a,n/a  not verified in this pass,Besigye's third consecutive loss to Museveni.,Wikipedia (2011 Ugandan general election),,,,,,,,,,,
Uganda,East Africa,Yoweri Museveni,2016,Yes,Won,n/a,n/a  not verified in this pass,,Wikipedia (2016 Ugandan general election),,,,,,,,,,,
Uganda,East Africa,Yoweri Museveni,2021,Yes,Won,n/a,n/a  not verified in this pass,Opponent Bobi Wine (musician-turned-politician) alleged fraud: violent crackdown on protests.,Wikipedia (2021 Ugandan general election),,,,,,,,,,,
Zimbabwe,Southern Africa,Robert Mugabe,2013,Yes (in power since 1980/1987),Won,n/a,61% vs Tsvangirai 33%,,Pressreader/Times Colonist,,,,,,,,,,,
Zimbabwe,Southern Africa,Emmerson Mnangagwa,2018,"No (took power via 2017 coup, first election)",Won (first term),1,50.8% vs Chamisa 44.3%,First election after Mugabe's ouster: deadly post-election violence (6 killed).,Al Jazeera,,,,,,,,,,,
Zimbabwe,Southern Africa,Emmerson Mnangagwa,2023,Yes,Won,2,"52.6% (or 52%, sources vary slightly) vs Chamisa 44%",Opposition rejected results as rigged: EU observers said vote fell short of standards.,VOA: Al Jazeera,,,,,,,,,,,
Egypt,North Africa,Abdel Fattah el-Sisi,2018,Yes (first elected 2014),Won,2,97% vs Moussa ~3%,Sole challenger was a Sisi supporter: serious rivals withdrew or were arrested/detained.,BBC: Fox News/AP,,,,,,,,,,,
Egypt,North Africa,Abdel Fattah el-Sisi,2023,Yes,Won,3,89.6% vs Omar 4.5%,Third term: opposition candidate Al-Tantawy withdrew citing suppression.,CBS: CNN: PBS,,,,,,,,,,,
Cameroon,Central Africa,Paul Biya,2018,Yes (in power since 1982),Won,7th term,71.3% vs Kamto 14.2%,Low turnout in Anglophone regions amid separatist conflict.,Al Jazeera,,,,,,,,,,,
Cameroon,Central Africa,Paul Biya,2025,Yes,Won,8th term,53.7% vs Tchiroma 35.2%,"Biya, 92, is world's oldest head of state: has 'never lost an election' since 1982: deadly post-election unrest.",France24: Al Jazeera,,,,,,,,,,,
Rwanda,East Africa,Paul Kagame,2003,"Yes (in power since 2000, de facto since 1994)",Won,n/a,95.05%,,Czech Centre for Human Rights and Democracy,,,,,,,,,,,
Rwanda,East Africa,Paul Kagame,2010,Yes,Won,n/a,93%,,Wikipedia (2010 Rwandan presidential election),,,,,,,,,,,
Rwanda,East Africa,Paul Kagame,2017,Yes,Won,3rd (7-yr) term,98.79%,Constitutional change (2015 referendum) enabled 3rd term.,Wikipedia: BBC: VOA,,,,,,,,,,,
Rwanda,East Africa,Paul Kagame,2024,Yes,Won,4th term,99.18%,Highest-ever margin: leading opposition figures barred from running.,France24: Al Jazeera: NBC,,,,,,,,,,,
United States,North America,John Adams,1800,Yes,Lost,n/a,"n/a  historical, not detailed here",1st incumbent US president to lose re-election: set precedent for peaceful transfer of power.,Yahoo/AP: Constitution.us,,,,,,,,,,,
United States,North America,John Quincy Adams,1828,Yes,Lost,n/a,n/a,Lost to Andrew Jackson.,Yahoo/AP,,,,,,,,,,,
United States,North America,Martin Van Buren,1840,Yes,Lost,n/a,n/a,Lost to William Henry Harrison amid economic depression.,Yahoo/AP,,,,,,,,,,,
United States,North America,Grover Cleveland,1888,Yes,Lost,n/a,n/a,"Won popular vote, lost Electoral College to Benjamin Harrison: later won non-consecutive 2nd term in 1892.",NBC News,,,,,,,,,,,
United States,North America,Benjamin Harrison,1892,Yes,Lost,n/a,n/a,Lost rematch to Cleveland.,NBC News,,,,,,,,,,,
United States,North America,William Howard Taft,1912,Yes,Lost,n/a,n/a,Lost to Woodrow Wilson in 3-way race with Theodore Roosevelt splitting GOP vote.,Yahoo/AP,,,,,,,,,,,
United States,North America,Herbert Hoover,1932,Yes,Lost,n/a,n/a,Lost to FDR amid Great Depression.,Yahoo/AP,,,,,,,,,,,
United States,North America,Gerald Ford,1976,Yes (ascended via Nixon resignation),Lost,n/a,n/a,Lost to Jimmy Carter: unpopular Nixon pardon a key factor.,Yahoo/AP: Constitution.us,,,,,,,,,,,
United States,North America,Jimmy Carter,1980,Yes,Lost,n/a,n/a,"Lost to Ronald Reagan amid inflation, unemployment, Iran hostage crisis.",Constitution.us: Yahoo/AP,,,,,,,,,,,
United States,North America,George H.W. Bush,1992,Yes,Lost,n/a,n/a,Lost to Bill Clinton amid recession and broken 'no new taxes' pledge.,Constitution.us: Deccan Herald,,,,,,,,,,,
United States,North America,Bill Clinton,1996,Yes,Won,2,49.2% vs Dole 40.7% (widely documented result),—,"n/a  well-established historical record, not re-verified this pass",,,,,,,,,,,
United States,North America,George W. Bush,2004,Yes,Won,2,50.7% vs Kerry 48.3% (widely documented result),,"n/a  well-established historical record, not re-verified this pass",,,,,,,,,,,
United States,North America,Barack Obama,2012,Yes,Won,2,51.1% vs Romney 47.2% (widely documented result),,"n/a  well-established historical record, not re-verified this pass",,,,,,,,,,,
United States,North America,Donald Trump,2020,Yes,Lost,n/a,46.9% vs Biden 51.3%,11th sitting US president to lose re-election bid (10 outright + Ford via succession).,Deccan Herald: Yahoo/AP,,,,,,,,,,,
United States,North America,Joe Biden,2024,Withdrew before general election,Did not contest general election,n/a,,Withdrew from race in July 2024 after primary: Harris became nominee and lost to Trump.,"n/a  well-established, not re-verified this pass",,,,,,,,,,,
Russia,Europe/Asia,Boris Yeltsin,1996,Yes,Won,2,54% (2nd round) vs Zyuganov,Only Russian presidential election to require a runoff since 1991.,Statista,,,,,,,,,,,
Russia,Europe/Asia,Vladimir Putin,2004,Yes,Won,2,n/a  not verified in this pass,,"Wikipedia (Putin 2024 campaign page, historical summary)",,,,,,,,,,,
Russia,Europe/Asia,Vladimir Putin,2012,Yes (after PM interlude 2008–2012),Won,3rd (non-consecutive),n/a  not verified in this pass,Circumvented 2-term-consecutive limit by serving as PM 2008–2012 with Medvedev as placeholder president.,Al Jazeera: CNN,,,,,,,,,,,
Russia,Europe/Asia,Vladimir Putin,2018,Yes,Won,4th,76%+ (exact % not verified this pass),,Statista: Al Jazeera,,,,,,,,,,,
Russia,Europe/Asia,Vladimir Putin,2024,Yes,Won,5th,87.28%–87.29%,"Highest-ever post-Soviet vote share: major opponents dead, imprisoned, or exiled: called illegitimate by Western observers.",Moscow Times: Statista: Al Jazeera,,,,,,,,,,,
Venezuela,South America,Hugo Chávez,2012,Yes,Won,3rd,54% vs Capriles 45%,,RFE/RL (Global Security),,,,,,,,,,,
Venezuela,South America,Nicolás Maduro,2018,Yes,Won,2,68% vs Falcon,Widely regarded as flawed: major opposition parties boycotted.,China Daily/Pressreader,,,,,,,,,,,
Venezuela,South America,Nicolás Maduro,2024,Yes,Won (disputed),3,51.2% vs González 44.2% (official): opposition tallies claimed González won ~70%,Most contested Venezuelan election in decades: US and several Latin American governments refused to recognize the result.,CNN: Al Jazeera: CNBC,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
President,Re-election Wins,,,,,,,,,,,,,,,,,,,
Yoweri Museveni,6,,,,,,,,,,,,,,,,,,,
Paul Kagame,4,,,,,,,,,,,,,,,,,,,
Vladimir Putin,4,,,,,,,,,,,,,,,,,,,
Alassane Ouattara,3,,,,,,,,,,,,,,,,,,,
Daniel arap Moi,2,,,,,,,,,,,,,,,,,,,
Abdel Fattah el-Sisi,2,,,,,,,,,,,,,,,,,,,
Paul Biya,2,,,,,,,,,,,,,,,,,,,
Shehu Shagari,1,,,,,,,,,,,,,,,,,,,
Olusegun Obasanjo,1,,,,,,,,,,,,,,,,,,,
Goodluck Jonathan,1,,,,,,,,,,,,,,,,,,,
Muhammadu Buhari,1,,,,,,,,,,,,,,,,,,,
Nana Akufo-Addo,1,,,,,,,,,,,,,,,,,,,
Robert Mugabe,1,,,,,,,,,,,,,,,,,,,
Emmerson Mnangagwa,1,,,,,,,,,,,,,,,,,,,
Bill Clinton,1,,,,,,,,,,,,,,,,,,,
Barack Obama,1,,,,,,,,,,,,,,,,,,,
Boris Yeltsin,1,,,,,,,,,,,,,,,,,,,
Hugo Chávez,1,,,,,,,,,,,,,,,,,,,
Nicolás Maduro,1,,,,,,,,,,,,,,,,,,,
Umaru Yar'Adua,0,,,,,,,,,,,,,,,,,,,
Bola Tinubu,0,,,,,,,,,,,,,,,,,,,
John Mahama,0,,,,,,,,,,,,,,,,,,,
Mwai Kibaki,0,,,,,,,,,,,,,,,,,,,
Uhuru Kenyatta,0,,,,,,,,,,,,,,,,,,,
William Ruto,0,,,,,,,,,,,,,,,,,,,
John Adams,0,,,,,,,,,,,,,,,,,,,
John Quincy Adams,0,,,,,,,,,,,,,,,,,,,
Martin Van Buren,0,,,,,,,,,,,,,,,,,,,
Grover Cleveland,0,,,,,,,,,,,,,,,,,,,
Benjamin Harrison,0,,,,,,,,,,,,,,,,,,,
William Howard Taft,0,,,,,,,,,,,,,,,,,,,
Herbert Hoover,0,,,,,,,,,,,,,,,,,,,
Gerald Ford,0,,,,,,,,,,,,,,,,,,,
Jimmy Carter,0,,,,,,,,,,,,,,,,,,,
George H.W. Bush,0,,,,,,,,,,,,,,,,,,,
Donald Trump,0,,,,,,,,,,,,,,,,,,,
Joe Biden,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Election Year,Country,Won Year,Lost Year,Country Number,,,,,,,,,,,,,,,,
1979,Nigeria,,,1,,,,,,,,,,,,,,,,
1983,Nigeria,1983,,1,,,,,,,,,,,,,,,,
1999,Nigeria,,,1,,,,,,,,,,,,,,,,
2003,Nigeria,2003,,1,,,,,,,,,,,,,,,,
2007,Nigeria,,,1,,,,,,,,,,,,,,,,
2011,Nigeria,2011,,1,,,,,,,,,,,,,,,,
2015,Nigeria,,2015,1,,,,,,,,,,,,,,,,
2015,Nigeria,,,1,,,,,,,,,,,,,,,,
2019,Nigeria,2019,,1,,,,,,,,,,,,,,,,
2023,Nigeria,,,1,,,,,,,,,,,,,,,,
2015,Côte d'Ivoire,2015,,2,,,,,,,,,,,,,,,,
2020,Côte d'Ivoire,2020,,2,,,,,,,,,,,,,,,,
2025,Côte d'Ivoire,2025,,2,,,,,,,,,,,,,,,,
2016,Ghana,,2016,3,,,,,,,,,,,,,,,,
2020,Ghana,2020,,3,,,,,,,,,,,,,,,,
2024,Ghana,,,3,,,,,,,,,,,,,,,,
1992,Kenya,1992,,4,,,,,,,,,,,,,,,,
1997,Kenya,1997,,4,,,,,,,,,,,,,,,,
2002,Kenya,,,4,,,,,,,,,,,,,,,,
2007,Kenya,,,4,,,,,,,,,,,,,,,,
2013,Kenya,,,4,,,,,,,,,,,,,,,,
2017,Kenya,,,4,,,,,,,,,,,,,,,,
2022,Kenya,,,4,,,,,,,,,,,,,,,,
1996,Uganda,1996,,5,,,,,,,,,,,,,,,,
2001,Uganda,2001,,5,,,,,,,,,,,,,,,,
2006,Uganda,2006,,5,,,,,,,,,,,,,,,,
2011,Uganda,2011,,5,,,,,,,,,,,,,,,,
2016,Uganda,2016,,5,,,,,,,,,,,,,,,,
2021,Uganda,2021,,5,,,,,,,,,,,,,,,,
2013,Zimbabwe,2013,,6,,,,,,,,,,,,,,,,
2018,Zimbabwe,,,6,,,,,,,,,,,,,,,,
2023,Zimbabwe,2023,,6,,,,,,,,,,,,,,,,
2018,Egypt,2018,,7,,,,,,,,,,,,,,,,
2023,Egypt,2023,,7,,,,,,,,,,,,,,,,
2018,Cameroon,2018,,8,,,,,,,,,,,,,,,,
2025,Cameroon,2025,,8,,,,,,,,,,,,,,,,
2003,Rwanda,2003,,9,,,,,,,,,,,,,,,,
2010,Rwanda,2010,,9,,,,,,,,,,,,,,,,
2017,Rwanda,2017,,9,,,,,,,,,,,,,,,,
2024,Rwanda,2024,,9,,,,,,,,,,,,,,,,
1800,United States,,1800,10,,,,,,,,,,,,,,,,
1828,United States,,1828,10,,,,,,,,,,,,,,,,
1840,United States,,1840,10,,,,,,,,,,,,,,,,
1888,United States,,1888,10,,,,,,,,,,,,,,,,
1892,United States,,1892,10,,,,,,,,,,,,,,,,
1912,United States,,1912,10,,,,,,,,,,,,,,,,
1932,United States,,1932,10,,,,,,,,,,,,,,,,
1976,United States,,1976,10,,,,,,,,,,,,,,,,
1980,United States,,1980,10,,,,,,,,,,,,,,,,
1992,United States,,1992,10,,,,,,,,,,,,,,,,
1996,United States,1996,,10,,,,,,,,,,,,,,,,
2004,United States,2004,,10,,,,,,,,,,,,,,,,
2012,United States,2012,,10,,,,,,,,,,,,,,,,
2020,United States,,2020,10,,,,,,,,,,,,,,,,
2024,United States,,,10,,,,,,,,,,,,,,,,
1996,Russia,1996,,11,,,,,,,,,,,,,,,,
2004,Russia,2004,,11,,,,,,,,,,,,,,,,
2012,Russia,2012,,11,,,,,,,,,,,,,,,,
2018,Russia,2018,,11,,,,,,,,,,,,,,,,
2024,Russia,2024,,11,,,,,,,,,,,,,,,,
2012,Venezuela,2012,,12,,,,,,,,,,,,,,,,
2018,Venezuela,2018,,12,,,,,,,,,,,,,,,,
2024,Venezuela,,,12,,,,,,,,,,,,,,,,
